Date,"GBP/USD(Open, Ask)","GBP/USD(High, Ask)","GBP/USD(Low, Ask)","GBP/USD(Close, Ask)","GBP/USD(Open, Bid)*","GBP/USD(High, Bid)*","GBP/USD(Low, Bid)*","GBP/USD(Close, Bid)*","HISTORICAL SSI(GBP/USD, SSI).SSI"
28/05/1997 00:00:00,1.64045,1.64125,1.62855,1.63215,1.64005,1.64085,1.62815,1.63175,
27/05/1997 00:00:00,1.63925,1.64565,1.63795,1.64045,1.63885,1.64525,1.63755,1.64005,
23/05/1997 00:00:00,1.64825,1.64945,1.62385,1.62465,1.64785,1.64905,1.62345,1.62425,
22/05/1997 00:00:00,1.65625,1.65995,1.64295,1.64825,1.65585,1.65955,1.64255,1.64785,
21/05/1997 00:00:00,1.63865,1.66085,1.63745,1.65625,1.63825,1.66045,1.63705,1.65585,
20/05/1997 00:00:00,1.63675,1.64425,1.63555,1.63865,1.63635,1.64385,1.63515,1.63825,
16/05/1997 00:00:00,1.64765,1.64985,1.63745,1.64275,1.64725,1.64945,1.63705,1.64235,
15/05/1997 00:00:00,1.63305,1.64855,1.63025,1.64765,1.63265,1.64815,1.62985,1.64725,
14/05/1997 00:00:00,1.62345,1.63525,1.61775,1.63305,1.62305,1.63485,1.61735,1.63265,
13/05/1997 00:00:00,1.62275,1.62715,1.61595,1.62345,1.62235,1.62675,1.61555,1.62305,
09/05/1997 00:00:00,1.61555,1.63135,1.61205,1.61925,1.61515,1.63095,1.61165,1.61885,
08/05/1997 00:00:00,1.63415,1.64045,1.60945,1.61555,1.63375,1.64005,1.60905,1.61515,
07/05/1997 00:00:00,1.62445,1.64045,1.61695,1.63415,1.62405,1.64005,1.61655,1.63375,
06/05/1997 00:00:00,1.62475,1.62645,1.61725,1.62445,1.62435,1.62605,1.61685,1.62405,
02/05/1997 00:00:00,1.62465,1.63035,1.62175,1.62765,1.62425,1.62995,1.62135,1.62725,
01/05/1997 00:00:00,1.63195,1.63355,1.61905,1.62465,1.63155,1.63315,1.61865,1.62425,
30/04/1997 00:00:00,1.62415,1.63455,1.62235,1.63195,1.62375,1.63415,1.62195,1.63155,
29/04/1997 00:00:00,1.62645,1.62895,1.62215,1.62415,1.62605,1.62855,1.62175,1.62375,
