Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*","HISTORICAL SSI(AUD/USD, SSI).SSI"
27/02/2015 16:00:00,0.78113,0.78328,0.77972,0.78094,0.78095,0.78309,0.77957,0.78077,1.4847
27/02/2015 12:00:00,0.78245,0.78355,0.78083,0.78113,0.78227,0.78337,0.78061,0.78095,1.4371
27/02/2015 08:00:00,0.78035,0.78255,0.78016,0.78245,0.78017,0.78238,0.77999,0.78227,1.5385
27/02/2015 04:00:00,0.77927,0.78058,0.77785,0.78035,0.77909,0.78038,0.77766,0.78017,1.6464
27/02/2015 00:00:00,0.78009,0.78165,0.77879,0.77927,0.77986,0.78145,0.77861,0.77909,1.6502
26/02/2015 20:00:00,0.78107,0.78128,0.77866,0.78009,0.78088,0.78110,0.77852,0.77986,1.6299
26/02/2015 16:00:00,0.78579,0.78579,0.78024,0.78107,0.78561,0.78561,0.78007,0.78088,1.5022
26/02/2015 12:00:00,0.79074,0.79139,0.78516,0.78579,0.79059,0.79122,0.78498,0.78561,1.2497
26/02/2015 08:00:00,0.78507,0.79107,0.78465,0.79074,0.78489,0.79087,0.78446,0.79059,1.2063
26/02/2015 04:00:00,0.78467,0.78616,0.78440,0.78507,0.78448,0.78599,0.78422,0.78489,1.2259
26/02/2015 00:00:00,0.78875,0.78896,0.78376,0.78467,0.78853,0.78877,0.78358,0.78448,1.1623
25/02/2015 20:00:00,0.78924,0.79015,0.78856,0.78875,0.78905,0.78997,0.78833,0.78853,1.0180
25/02/2015 16:00:00,0.78990,0.79015,0.78807,0.78924,0.78971,0.78996,0.78775,0.78905,1.0253
25/02/2015 12:00:00,0.78869,0.79025,0.78723,0.78990,0.78852,0.79006,0.78704,0.78971,1.0284
25/02/2015 08:00:00,0.78888,0.79018,0.78716,0.78869,0.78870,0.79003,0.78701,0.78852,1.0796
25/02/2015 04:00:00,0.78791,0.78933,0.78690,0.78888,0.78773,0.78916,0.78673,0.78870,1.1332
25/02/2015 00:00:00,0.78327,0.78868,0.78243,0.78791,0.78303,0.78848,0.78226,0.78773,1.2267
24/02/2015 20:00:00,0.78160,0.78383,0.78103,0.78327,0.78141,0.78363,0.78086,0.78303,1.3048
24/02/2015 16:00:00,0.77665,0.78279,0.77442,0.78160,0.77646,0.78259,0.77423,0.78141,1.3836
24/02/2015 12:00:00,0.77485,0.77700,0.77458,0.77665,0.77468,0.77681,0.77439,0.77646,1.6344
24/02/2015 08:00:00,0.77712,0.77805,0.77406,0.77485,0.77693,0.77788,0.77388,0.77468,1.6246
24/02/2015 04:00:00,0.78052,0.78072,0.77634,0.77712,0.78033,0.78053,0.77615,0.77693,1.5466
24/02/2015 00:00:00,0.78036,0.78076,0.77984,0.78052,0.78012,0.78057,0.77967,0.78033,1.4188
23/02/2015 20:00:00,0.77990,0.78123,0.77924,0.78036,0.77970,0.78104,0.77908,0.78012,1.4429
23/02/2015 16:00:00,0.78019,0.78157,0.77892,0.77990,0.78002,0.78140,0.77874,0.77970,1.4324
23/02/2015 12:00:00,0.77902,0.78034,0.77856,0.78019,0.77882,0.78019,0.77837,0.78002,1.4421
23/02/2015 08:00:00,0.78357,0.78424,0.77815,0.77902,0.78338,0.78405,0.77798,0.77882,1.3643
23/02/2015 04:00:00,0.78415,0.78462,0.78313,0.78357,0.78396,0.78442,0.78296,0.78338,1.2102
23/02/2015 00:00:00,0.78486,0.78499,0.78287,0.78415,0.78462,0.78478,0.78270,0.78396,1.2007
22/02/2015 20:00:00,0.78462,0.78571,0.78419,0.78486,0.78439,0.78476,0.78363,0.78462,1.2186
20/02/2015 20:00:00,0.78336,0.78579,0.78323,0.78462,0.78316,0.78477,0.78303,0.78439,1.2186
20/02/2015 16:00:00,0.78419,0.78442,0.78120,0.78336,0.78400,0.78424,0.78101,0.78316,1.2511
20/02/2015 12:00:00,0.78387,0.78498,0.78309,0.78419,0.78367,0.78479,0.78291,0.78400,1.1894
20/02/2015 08:00:00,0.78065,0.78421,0.78038,0.78387,0.78047,0.78402,0.78019,0.78367,1.2297
20/02/2015 04:00:00,0.78045,0.78129,0.78032,0.78065,0.78026,0.78109,0.78014,0.78047,1.4200
20/02/2015 00:00:00,0.77933,0.78054,0.77895,0.78045,0.77911,0.78036,0.77877,0.78026,1.4851
19/02/2015 20:00:00,0.77939,0.77972,0.77844,0.77933,0.77919,0.77954,0.77826,0.77911,1.5096
