Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*","MVA(EUR/USD.Open,7)","HISTORICAL SSI(EUR/USD, SSI).SSI"
04/02/2015 04:00:00,1.14665,1.14850,1.14558,1.14787,1.14654,1.14839,1.14544,1.14776,1.1410,-1.8428
04/02/2015 00:00:00,1.14838,1.14857,1.14565,1.14665,1.14772,1.14791,1.14551,1.14654,1.1391,-1.9008
03/02/2015 20:00:00,1.14719,1.15351,1.14719,1.14838,1.14708,1.15333,1.14707,1.14772,1.1371,-1.9505
03/02/2015 16:00:00,1.14439,1.14929,1.14201,1.14719,1.14425,1.14915,1.14189,1.14708,1.1348,-1.9626
03/02/2015 12:00:00,1.13344,1.14508,1.13325,1.14439,1.13330,1.14490,1.13312,1.14425,1.1335,-1.8110
03/02/2015 08:00:00,1.13321,1.13528,1.13131,1.13344,1.13308,1.13515,1.13118,1.13330,1.1331,-1.6185
03/02/2015 04:00:00,1.13482,1.13493,1.13226,1.13321,1.13468,1.13481,1.13215,1.13308,1.1329,-1.6253
03/02/2015 00:00:00,1.13443,1.13519,1.13339,1.13482,1.13374,1.13507,1.13324,1.13468,1.1324,-1.6630
02/02/2015 20:00:00,1.13335,1.13558,1.13320,1.13443,1.13323,1.13546,1.13308,1.13374,1.1315,-1.6826
02/02/2015 16:00:00,1.13121,1.13628,1.13098,1.13335,1.13108,1.13616,1.13085,1.13323,1.1308,-1.6503
02/02/2015 12:00:00,1.13527,1.13555,1.13029,1.13121,1.13515,1.13541,1.13018,1.13108,1.1309,-1.5063
02/02/2015 08:00:00,1.13090,1.13538,1.12932,1.13527,1.13077,1.13525,1.12918,1.13515,1.1303,-1.6022
02/02/2015 04:00:00,1.13161,1.13262,1.13061,1.13090,1.13147,1.13250,1.13049,1.13077,1.1308,-1.5660
02/02/2015 00:00:00,1.13162,1.13226,1.13015,1.13161,1.13103,1.13189,1.13001,1.13147,1.1310,-1.5535
01/02/2015 20:00:00,1.12940,1.13298,1.12940,1.13162,1.12766,1.13278,1.12766,1.13103,1.1311,-1.5272
30/01/2015 20:00:00,1.12880,1.13166,1.12799,1.12940,1.12868,1.13152,1.12745,1.12766,1.1315,-1.5272
30/01/2015 16:00:00,1.13187,1.13270,1.12797,1.12880,1.13175,1.13257,1.12785,1.12868,1.1320,-1.5363
30/01/2015 12:00:00,1.13111,1.13644,1.12927,1.13187,1.13091,1.13633,1.12913,1.13175,1.1320,-1.6439
30/01/2015 08:00:00,1.13398,1.13534,1.13049,1.13111,1.13385,1.13522,1.13036,1.13091,1.1315,-1.7459
30/01/2015 04:00:00,1.13336,1.13402,1.13222,1.13398,1.13324,1.13388,1.13210,1.13385,1.1308,-1.6924
30/01/2015 00:00:00,1.13206,1.13386,1.13181,1.13336,1.13187,1.13373,1.13157,1.13324,1.1301,-1.7182
29/01/2015 20:00:00,1.13050,1.13278,1.12955,1.13206,1.13037,1.13264,1.12942,1.13187,1.1306,-1.6887
29/01/2015 16:00:00,1.13240,1.13687,1.12794,1.13050,1.13227,1.13674,1.12782,1.13037,1.1313,-1.6212
29/01/2015 12:00:00,1.13167,1.13282,1.12909,1.13240,1.13153,1.13270,1.12898,1.13227,1.1318,-1.7173
29/01/2015 08:00:00,1.12749,1.13198,1.12660,1.13167,1.12736,1.13185,1.12647,1.13153,1.1324,-1.5995
29/01/2015 04:00:00,1.12888,1.12944,1.12625,1.12749,1.12874,1.12932,1.12612,1.12736,1.1333,-1.4556
29/01/2015 00:00:00,1.12895,1.12969,1.12731,1.12888,1.12851,1.12954,1.12715,1.12874,1.1346,-1.4793
28/01/2015 20:00:00,1.13546,1.13709,1.12767,1.12895,1.13534,1.13692,1.12755,1.12851,1.1355,-1.5036
28/01/2015 16:00:00,1.13519,1.13635,1.13077,1.13546,1.13505,1.13622,1.13063,1.13534,1.1353,-1.6894
28/01/2015 12:00:00,1.13635,1.13818,1.13413,1.13519,1.13621,1.13803,1.13396,1.13505,1.1348,-1.5894
28/01/2015 08:00:00,1.13563,1.13834,1.13272,1.13635,1.13550,1.13818,1.13253,1.13621,1.1331,-1.5743
28/01/2015 04:00:00,1.13359,1.13652,1.13312,1.13563,1.13344,1.13634,1.13299,1.13550,1.1315,-1.5582
28/01/2015 00:00:00,1.13819,1.13842,1.13316,1.13359,1.13794,1.13827,1.13300,1.13344,1.1301,-1.6506
27/01/2015 20:00:00,1.13533,1.13836,1.13418,1.13819,1.13518,1.13818,1.13400,1.13794,1.1287,-1.7000
27/01/2015 16:00:00,1.13397,1.14237,1.13343,1.13533,1.13380,1.14220,1.13327,1.13518,1.1275,-1.6757
27/01/2015 12:00:00,1.13189,1.13405,1.12618,1.13397,1.13175,1.13388,1.12601,1.13380,1.1263,-1.5546
27/01/2015 08:00:00,1.12391,1.13463,1.12246,1.13189,1.12378,1.13448,1.12231,1.13175,1.1244,-1.6675
27/01/2015 04:00:00,1.12500,1.12552,1.12368,1.12391,1.12486,1.12540,1.12354,1.12378,1.1234,-1.6065
27/01/2015 00:00:00,1.12396,1.12592,1.12325,1.12500,1.12367,1.12577,1.12315,1.12486,1.1220,-1.6200
26/01/2015 20:00:00,1.12806,1.12839,1.12331,1.12396,1.12789,1.12821,1.12317,1.12367,1.1215,-1.6295
26/01/2015 16:00:00,1.12694,1.12965,1.12507,1.12806,1.12681,1.12948,1.12494,1.12789,1.1211,-1.6533
26/01/2015 12:00:00,1.12513,1.12779,1.12224,1.12694,1.12500,1.12764,1.12209,1.12681,1.1207,-1.6467
26/01/2015 08:00:00,1.11864,1.12627,1.11864,1.12513,1.11849,1.12610,1.11849,1.12500,1.1204,-1.5181
26/01/2015 04:00:00,1.11699,1.11959,1.11524,1.11864,1.11684,1.11944,1.11509,1.11849,1.1226,-1.4339
26/01/2015 00:00:00,1.11568,1.12032,1.10986,1.11699,1.11506,1.12011,1.10966,1.11684,1.1253,-1.3719
