Date,"EUR/USD(Open, Ask)*","EUR/USD(High, Ask)*","EUR/USD(Low, Ask)*","EUR/USD(Close, Ask)*","HISTORICAL SSI(EUR/USD, SSI).SSI"
29/7/2013,1.32898,1.32955,1.32419,1.32637,-2.1778
26/7/2013,1.32785,1.32975,1.32534,1.32796,-2.3950
25/7/2013,1.31999,1.32966,1.31663,1.32785,-2.4374
24/7/2013,1.32254,1.32566,1.31772,1.31999,-1.9284
23/7/2013,1.31864,1.32394,1.31640,1.32254,-2.0092
22/7/2013,1.31454,1.32187,1.31372,1.31864,-1.8476
19/7/2013,1.31090,1.31553,1.30901,1.31392,-1.6726
18/7/2013,1.31256,1.31288,1.30666,1.31090,-1.4924
17/7/2013,1.31649,1.31792,1.30839,1.31256,-1.6267
16/7/2013,1.30629,1.31750,1.30509,1.31649,-1.7659
15/7/2013,1.30843,1.30843,1.29939,1.30629,-1.3413
12/7/2013,1.30975,1.31009,1.29998,1.30683,-1.3625
11/7/2013,1.29825,1.32065,1.29634,1.30975,-1.4168
10/7/2013,1.27825,1.29863,1.27654,1.29825,-1.1122
9/7/2013,1.28722,1.28986,1.27561,1.27825,1.1337
8/7/2013,1.28145,1.28825,1.28124,1.28722,-1.0633
5/7/2013,1.29147,1.29178,1.28067,1.28337,1.0939
4/7/2013,1.30116,1.30241,1.28836,1.29147,-1.0710
3/7/2013,1.29799,1.30332,1.29237,1.30116,-1.2504
2/7/2013,1.30650,1.30787,1.29642,1.29799,-1.1506
1/7/2013,1.30196,1.30674,1.30064,1.30650,-1.4840
28/6/2013,1.30401,1.31039,1.29919,1.30124,-1.2329
27/6/2013,1.30126,1.30579,1.30005,1.30401,-1.3276
26/6/2013,1.30792,1.30879,1.29852,1.30126,-1.1220
25/6/2013,1.31215,1.31513,1.30656,1.30792,-1.3426
24/6/2013,1.30944,1.31446,1.30596,1.31215,-1.4876
21/6/2013,1.32211,1.32547,1.30992,1.31232,-1.4889
20/6/2013,1.32955,1.33024,1.31621,1.32211,-1.8571
19/6/2013,1.33934,1.34209,1.32631,1.32955,-2.1897
18/6/2013,1.33671,1.34165,1.33266,1.33934,-2.8070
17/6/2013,1.33513,1.33823,1.33191,1.33671,-2.3162
14/6/2013,1.33762,1.33762,1.32954,1.33454,-2.2087
13/6/2013,1.33379,1.33910,1.32792,1.33762,-2.3050
12/6/2013,1.33149,1.33600,1.32662,1.33379,-2.4608
11/6/2013,1.32572,1.33181,1.32325,1.33149,-2.4606
10/6/2013,1.31982,1.32699,1.31783,1.32572,-2.1816
7/6/2013,1.32479,1.32862,1.31921,1.32162,-2.0353
6/6/2013,1.30940,1.33071,1.30755,1.32479,-2.1895
5/6/2013,1.30815,1.31170,1.30537,1.30940,-1.6394
4/6/2013,1.30772,1.31020,1.30429,1.30815,-1.6157
3/6/2013,1.30011,1.31083,1.29560,1.30772,-1.6435
31/5/2013,1.30478,1.30602,1.29449,1.29985,-1.3645
30/5/2013,1.29432,1.30621,1.29342,1.30478,-1.7142
29/5/2013,1.28567,1.29781,1.28385,1.29432,-1.3240
28/5/2013,1.29323,1.29504,1.28504,1.28567,1.0183
27/5/2013,1.29374,1.29493,1.29160,1.29323,-1.2434
24/5/2013,1.29348,1.29940,1.29050,1.29383,-1.2637
23/5/2013,1.28593,1.29576,1.28222,1.29348,-1.3210
22/5/2013,1.29059,1.29987,1.28342,1.28593,-1.0255
21/5/2013,1.28835,1.29342,1.28417,1.29059,-1.1090
20/5/2013,1.28433,1.29016,1.28201,1.28835,-1.0505
17/5/2013,1.28833,1.28904,1.27970,1.28372,1.1092
16/5/2013,1.28882,1.29304,1.28470,1.28833,1.0703
15/5/2013,1.29249,1.29434,1.28439,1.28882,1.1987
14/5/2013,1.29765,1.30296,1.29131,1.29249,1.1130
13/5/2013,1.29732,1.30005,1.29421,1.29765,1.0754
10/5/2013,1.30435,1.30517,1.29360,1.29941,1.1508
9/5/2013,1.31538,1.31777,1.30104,1.30435,-1.0495
8/5/2013,1.30797,1.31949,1.30726,1.31538,-2.0394
7/5/2013,1.30774,1.31327,1.30685,1.30797,-1.4970
6/5/2013,1.31282,1.31420,1.30542,1.30774,-1.4169
3/5/2013,1.30664,1.31601,1.30338,1.31174,-1.6374
2/5/2013,1.31815,1.32192,1.30379,1.30664,-1.3765
1/5/2013,1.31685,1.32432,1.31614,1.31815,-1.9711
30/4/2013,1.31004,1.31865,1.30550,1.31685,-1.9205
29/4/2013,1.30551,1.31171,1.30327,1.31004,-1.9567
26/4/2013,1.30115,1.30484,1.29913,1.30278,-1.6542
25/4/2013,1.30183,1.30941,1.29894,1.30115,-1.5651
24/4/2013,1.30041,1.30349,1.29553,1.30183,-1.5495
23/4/2013,1.30659,1.30847,1.29736,1.30041,-1.3799
22/4/2013,1.30825,1.30847,1.30159,1.30659,-1.6248
19/4/2013,1.30522,1.31295,1.30452,1.30534,-1.6748
18/4/2013,1.30335,1.30968,1.30217,1.30522,-1.6426
17/4/2013,1.31771,1.32003,1.30018,1.30335,-1.4189
16/4/2013,1.30366,1.32023,1.30289,1.31771,-2.2318
15/4/2013,1.31192,1.31192,1.30225,1.30366,-1.7774
12/4/2013,1.31036,1.31281,1.30372,1.31100,-2.0016
11/4/2013,1.30721,1.31389,1.30445,1.31036,-1.8415
10/4/2013,1.30841,1.31226,1.30533,1.30721,-1.8398
9/4/2013,1.30083,1.31038,1.30057,1.30841,-2.0638
8/4/2013,1.29789,1.30386,1.29691,1.30083,-1.7626
5/4/2013,1.29357,1.30403,1.29012,1.29982,-1.7446
4/4/2013,1.28471,1.29496,1.27458,1.29357,-1.5868
3/4/2013,1.28189,1.28650,1.27904,1.28471,-1.0734
2/4/2013,1.28504,1.28782,1.28098,1.28189,1.0295
1/4/2013,1.28107,1.28687,1.27721,1.28504,-1.1014
29/3/2013,1.28187,1.28381,1.27939,1.28197,1.1102
28/3/2013,1.27814,1.28451,1.27558,1.28187,1.1231
27/3/2013,1.28624,1.28677,1.27512,1.27814,1.3671
26/3/2013,1.28538,1.28905,1.28291,1.28624,1.2460
25/3/2013,1.29465,1.30503,1.28303,1.28538,1.3196
22/3/2013,1.28999,1.30107,1.28889,1.29912,-1.3129
21/3/2013,1.29357,1.29559,1.28804,1.28999,1.0206
20/3/2013,1.28834,1.29795,1.28573,1.29357,-1.2540
19/3/2013,1.29577,1.29702,1.28444,1.28834,1.0616
18/3/2013,1.29085,1.29965,1.28827,1.29577,-1.1854
15/3/2013,1.30056,1.31078,1.30002,1.30766,-1.4743
14/3/2013,1.29624,1.30332,1.29122,1.30056,-1.2993
13/3/2013,1.30343,1.30654,1.29240,1.29624,-1.0620
12/3/2013,1.30468,1.30753,1.29918,1.30343,-1.2575
11/3/2013,1.29878,1.30544,1.29801,1.30468,-1.3072
8/3/2013,1.31092,1.31351,1.29561,1.30032,-1.1392
7/3/2013,1.29704,1.31190,1.29681,1.31092,-1.4364
6/3/2013,1.30517,1.30711,1.29672,1.29704,-1.0551
5/3/2013,1.30269,1.30760,1.30110,1.30517,-1.2106
4/3/2013,1.30137,1.30319,1.29830,1.30269,-1.1410
1/3/2013,1.30583,1.31017,1.29672,1.30217,-1.1279
28/2/2013,1.31368,1.31626,1.30539,1.30583,-1.2105
27/2/2013,1.30640,1.31477,1.30421,1.31368,-1.3803
26/2/2013,1.30663,1.31238,1.30190,1.30640,-1.2335
25/2/2013,1.32169,1.33195,1.30486,1.30663,-1.2528
22/2/2013,1.31897,1.32468,1.31457,1.31902,-1.3564
21/2/2013,1.32822,1.32923,1.31614,1.31897,-1.3397
20/2/2013,1.33889,1.34348,1.32715,1.32822,-1.4681
19/2/2013,1.33523,1.33966,1.33297,1.33889,-1.7111
18/2/2013,1.33500,1.33802,1.33222,1.33523,-1.6151
15/2/2013,1.33652,1.33941,1.33071,1.33677,-1.6673
14/2/2013,1.34517,1.34566,1.33160,1.33652,-1.6365
13/2/2013,1.34540,1.35206,1.34270,1.34517,-1.7267
12/2/2013,1.34047,1.34762,1.33646,1.34540,-1.7223
11/2/2013,1.33788,1.34282,1.33579,1.34047,-1.6345
8/2/2013,1.33991,1.34300,1.33540,1.33641,-1.5632
7/2/2013,1.35228,1.35780,1.33714,1.33991,-1.6082
6/2/2013,1.35839,1.35966,1.34942,1.35228,-2.0773
5/2/2013,1.35159,1.35980,1.34591,1.35839,-2.3358
4/2/2013,1.36543,1.36610,1.35057,1.35159,-2.0992
1/2/2013,1.35784,1.37116,1.35744,1.36432,-2.6728
31/1/2013,1.35677,1.35950,1.35419,1.35784,-2.7946
30/1/2013,1.34925,1.35885,1.34828,1.35677,-2.7876
29/1/2013,1.34559,1.34978,1.34150,1.34925,-2.7618
28/1/2013,1.34567,1.34778,1.34254,1.34559,-2.5383
25/1/2013,1.33774,1.34799,1.33503,1.34567,-2.6375
24/1/2013,1.33188,1.33933,1.32867,1.33774,-2.5856
23/1/2013,1.33233,1.33552,1.32651,1.33188,-2.0627
22/1/2013,1.33139,1.33723,1.32674,1.33233,-2.0629
21/1/2013,1.33199,1.33330,1.33007,1.33139,-2.0869
18/1/2013,1.33769,1.33990,1.32812,1.33199,-2.2021
17/1/2013,1.32891,1.33877,1.32704,1.33769,-2.4508
16/1/2013,1.33064,1.33254,1.32568,1.32891,-2.1745
15/1/2013,1.33837,1.33942,1.32639,1.33064,-2.4386
14/1/2013,1.33442,1.34048,1.33369,1.33837,-2.5343
11/1/2013,1.32795,1.33665,1.32491,1.33442,-2.7114
10/1/2013,1.30644,1.32799,1.30396,1.32795,-2.5085
9/1/2013,1.30820,1.30967,1.30373,1.30644,-1.4827
8/1/2013,1.31171,1.31405,1.30570,1.30820,-1.5372
7/1/2013,1.30702,1.31201,1.30173,1.31171,-1.6678
4/1/2013,1.30506,1.30903,1.29983,1.30702,-1.5157
3/1/2013,1.31865,1.31915,1.30476,1.30506,-1.4384
2/1/2013,1.31858,1.32945,1.31576,1.31865,-1.7689
31/12/2012,1.32199,1.32359,1.31728,1.31858,-2.1350
28/12/2012,1.32378,1.32574,1.31667,1.32199,-2.3645
27/12/2012,1.32249,1.32844,1.32021,1.32378,-2.4169
26/12/2012,1.31775,1.32549,1.31742,1.32249,-2.3151
24/12/2012,1.31853,1.32345,1.31722,1.31775,-2.3765
21/12/2012,1.32454,1.32534,1.31593,1.31853,-2.2829
20/12/2012,1.32282,1.32957,1.31895,1.32454,-2.4269
19/12/2012,1.32293,1.33090,1.32238,1.32282,-2.2966
18/12/2012,1.31639,1.32390,1.31565,1.32293,-2.4305
17/12/2012,1.31629,1.31977,1.31448,1.31639,-2.3803
14/12/2012,1.30784,1.31738,1.30670,1.31629,-2.9666
13/12/2012,1.30749,1.31011,1.30415,1.30784,-2.5676
12/12/2012,1.30071,1.30981,1.29964,1.30749,-2.3745
