Date,"Open, Ask","High, Ask","Low, Ask","Close, Ask","Open, Bid","High, Bid","Low, Bid","Close, Bid",SSI
18/01/2012 00:00:00,1.03774,1.04389,1.03599,1.04389,1.03745,1.04367,1.03579,1.04335,-2.0566
17/01/2012 00:00:00,1.03182,1.04507,1.03042,1.03774,1.03114,1.04489,1.02994,1.03745,-1.8011
16/01/2012 00:00:00,1.03331,1.03384,1.02552,1.03182,1.03149,1.03366,1.02533,1.03114,-1.8241
13/01/2012 00:00:00,1.03352,1.03684,1.02333,1.03331,1.03313,1.03668,1.02315,1.03149,-2.0180
12/01/2012 00:00:00,1.03129,1.03786,1.02874,1.03352,1.03098,1.03770,1.02854,1.03313,-1.8703
11/01/2012 00:00:00,1.03160,1.03293,1.02636,1.03129,1.03109,1.03275,1.02619,1.03098,-1.7452
10/01/2012 00:00:00,1.02426,1.03524,1.02306,1.03160,1.02370,1.03507,1.02284,1.03109,-1.8224
09/01/2012 00:00:00,1.02357,1.02579,1.01465,1.02426,1.02218,1.02563,1.01444,1.02370,-1.3745
06/01/2012 00:00:00,1.02650,1.02781,1.02025,1.02357,1.02618,1.02730,1.02012,1.02218,-1.3703
05/01/2012 00:00:00,1.03719,1.03738,1.02332,1.02650,1.03614,1.03706,1.02312,1.02618,-1.5634
04/01/2012 00:00:00,1.03801,1.03821,1.03052,1.03719,1.03760,1.03790,1.03035,1.03614,-2.0900
03/01/2012 00:00:00,1.02415,1.03876,1.02373,1.03801,1.02294,1.03856,1.02294,1.03760,-2.2371
02/01/2012 00:00:00,1.02113,1.02415,1.01976,1.02415,1.01922,1.02363,1.01922,1.02294,-1.6796
30/12/2011 00:00:00,1.01395,1.02696,1.01281,1.02113,1.01343,1.02675,1.01253,1.01922,-1.8142
29/12/2011 00:00:00,1.00962,1.01471,1.00459,1.01395,1.00915,1.01446,1.00432,1.01343,-1.2523
28/12/2011 00:00:00,1.01604,1.02037,1.00728,1.00962,1.01547,1.02018,1.00703,1.00915,1.0250
27/12/2011 00:00:00,1.01724,1.01795,1.01432,1.01604,1.01662,1.01747,1.01394,1.01547,-1.2156
26/12/2011 00:00:00,1.01537,1.01793,1.01450,1.01724,1.01390,1.01710,1.01340,1.01662,-1.2132
23/12/2011 00:00:00,1.01316,1.01822,1.01282,1.01537,1.01273,1.01803,1.01262,1.01390,-1.1770
22/12/2011 00:00:00,1.01057,1.01495,1.00623,1.01316,1.01007,1.01478,1.00601,1.01273,-1.0938
21/12/2011 00:00:00,1.00821,1.02203,1.00527,1.01057,1.00779,1.02185,1.00507,1.01007,1.2304
20/12/2011 00:00:00,0.98981,1.00959,0.98964,1.00821,0.98945,1.00940,0.98923,1.00779,-1.1282
19/12/2011 00:00:00,0.99846,0.99913,0.98840,0.98981,0.99662,0.99867,0.98825,0.98945,1.4338
16/12/2011 00:00:00,0.99237,1.00284,0.99216,0.99846,0.99198,1.00272,0.99183,0.99662,1.1755
15/12/2011 00:00:00,0.99117,0.99900,0.98626,0.99237,0.99074,0.99884,0.98606,0.99198,1.2522
14/12/2011 00:00:00,1.00181,1.00462,0.98857,0.99117,1.00118,1.00446,0.98836,0.99074,1.4199
13/12/2011 00:00:00,1.00753,1.01645,0.99812,1.00181,1.00715,1.01624,0.99795,1.00118,1.1739
12/12/2011 00:00:00,1.02252,1.02252,1.00523,1.00753,1.02118,1.02137,1.00505,1.00715,1.3320
09/12/2011 00:00:00,1.01680,1.02257,1.00494,1.02252,1.01653,1.02239,1.00474,1.02118,-1.2559
08/12/2011 00:00:00,1.02958,1.03815,1.01468,1.01680,1.02924,1.03792,1.01451,1.01653,1.3102
07/12/2011 00:00:00,1.02457,1.03055,1.02346,1.02958,1.02439,1.03036,1.02300,1.02924,-1.6741
06/12/2011 00:00:00,1.02695,1.02753,1.01573,1.02457,1.02697,1.02697,1.01553,1.02439,-1.4920
05/12/2011 00:00:00,1.02137,1.03055,1.02035,1.02695,1.02115,1.03039,1.02015,1.02697,-1.6282
02/12/2011 00:00:00,1.02451,1.03269,1.02063,1.02137,1.02418,1.03246,1.02043,1.02115,-1.0905
01/12/2011 00:00:00,1.02846,1.02856,1.01515,1.02451,1.02792,1.02804,1.01499,1.02418,-1.1138
30/11/2011 00:00:00,1.00033,1.03330,0.99440,1.02846,0.99966,1.03299,0.99422,1.02792,-1.2225
29/11/2011 00:00:00,0.99071,1.00785,0.98644,1.00033,0.99030,1.00768,0.98625,0.99966,1.1185
28/11/2011 00:00:00,0.97011,0.99771,0.97011,0.99071,0.96982,0.99757,0.96982,0.99030,1.5067
25/11/2011 00:00:00,0.97367,0.97745,0.96683,0.97011,0.97322,0.97729,0.96664,0.96982,2.1941
24/11/2011 00:00:00,0.96895,0.97861,0.96840,0.97367,0.96862,0.97848,0.96816,0.97322,1.8595
23/11/2011 00:00:00,0.98344,0.98572,0.96647,0.96895,0.98315,0.98560,0.96630,0.96862,2.2333
22/11/2011 00:00:00,0.98441,0.98999,0.98144,0.98344,0.98389,0.98982,0.98125,0.98315,2.0252
21/11/2011 00:00:00,1.00029,1.00153,0.98102,0.98441,1.00004,1.00128,0.98083,0.98389,1.9545
18/11/2011 00:00:00,1.00019,1.01080,0.99656,1.00029,0.99982,1.01072,0.99636,1.00004,1.5029
17/11/2011 00:00:00,1.00865,1.01187,0.99748,1.00019,1.00785,1.01169,0.99729,0.99982,1.6165
16/11/2011 00:00:00,1.01794,1.01852,1.00615,1.00865,1.01764,1.01836,1.00596,1.00785,1.3778
15/11/2011 00:00:00,1.02075,1.02277,1.01142,1.01794,1.02000,1.02261,1.01123,1.01764,1.2296
14/11/2011 00:00:00,1.02857,1.03557,1.01620,1.02075,1.02831,1.03430,1.01603,1.02000,1.1681
11/11/2011 00:00:00,1.01570,1.03052,1.01065,1.02857,1.01534,1.03033,1.01047,1.02831,-1.1340
10/11/2011 00:00:00,1.01433,1.02096,1.00535,1.01570,1.01413,1.02082,1.00509,1.01534,1.2380
09/11/2011 00:00:00,1.03938,1.03989,1.01387,1.01433,1.03915,1.03973,1.01368,1.01413,1.4641
